Circuit: * C:\Users\Raul Alzate\Desktop\Circuits_Electronics\twoBridgeAnalisys\Draft3.asc

.OP point found by inspection.
.step x=1
.step x=2
.step x=3
.step x=4
.step x=5
.step x=6
.step x=7
.step x=8
.step x=9
.step x=10
.step x=11
.step x=12
.step x=13
.step x=14
.step x=15
.step x=16
.step x=17
.step x=18
.step x=19
.step x=20
.step x=21
.step x=22
.step x=23
.step x=24
.step x=25
.step x=26
.step x=27
.step x=28
.step x=29
.step x=30
.step x=31
.step x=32
.step x=33
.step x=34
.step x=35
.step x=36
.step x=37
.step x=38
.step x=39
.step x=40
.step x=41
.step x=42
.step x=43
.step x=44
.step x=45
.step x=46
.step x=47
.step x=48
.step x=49
.step x=50


Measurement: i_out_ac
  step	RMS(i(l2))	FROM	TO
     1	54.5303	0	0.1
     2	28.9199	0	0.1
     3	19.5734	0	0.1
     4	14.7766	0	0.1
     5	11.8638	0	0.1
     6	9.90876	0	0.1
     7	8.50628	0	0.1
     8	7.45128	0	0.1
     9	6.62892	0	0.1
    10	5.96996	0	0.1
    11	5.43011	0	0.1
    12	4.97976	0	0.1
    13	4.59836	0	0.1
    14	4.27122	0	0.1
    15	3.98752	0	0.1
    16	3.73915	0	0.1
    17	3.51989	0	0.1
    18	3.32493	0	0.1
    19	3.15043	0	0.1
    20	2.99333	0	0.1
    21	2.85115	0	0.1
    22	2.72186	0	0.1
    23	2.60379	0	0.1
    24	2.49554	0	0.1
    25	2.39592	0	0.1
    26	2.30396	0	0.1
    27	2.21879	0	0.1
    28	2.13969	0	0.1
    29	2.06604	0	0.1
    30	1.99729	0	0.1
    31	1.93296	0	0.1
    32	1.87265	0	0.1
    33	1.816	0	0.1
    34	1.76267	0	0.1
    35	1.71238	0	0.1
    36	1.66488	0	0.1
    37	1.61994	0	0.1
    38	1.57737	0	0.1
    39	1.53697	0	0.1
    40	1.4986	0	0.1
    41	1.46209	0	0.1
    42	1.42732	0	0.1
    43	1.39417	0	0.1
    44	1.36252	0	0.1
    45	1.33227	0	0.1
    46	1.30334	0	0.1
    47	1.27564	0	0.1
    48	1.2491	0	0.1
    49	1.22363	0	0.1
    50	1.19918	0	0.1

Measurement: i_in_ac
  step	RMS(i(l1))	FROM	TO
     1	27.2678	0	0.1
     2	14.4614	0	0.1
     3	9.78777	0	0.1
     4	7.38915	0	0.1
     5	5.93264	0	0.1
     6	4.95505	0	0.1
     7	4.25376	0	0.1
     8	3.72623	0	0.1
     9	3.31502	0	0.1
    10	2.98552	0	0.1
    11	2.71559	0	0.1
    12	2.4904	0	0.1
    13	2.2997	0	0.1
    14	2.13613	0	0.1
    15	1.99428	0	0.1
    16	1.87009	0	0.1
    17	1.76047	0	0.1
    18	1.66299	0	0.1
    19	1.57575	0	0.1
    20	1.4972	0	0.1
    21	1.42612	0	0.1
    22	1.36148	0	0.1
    23	1.30245	0	0.1
    24	1.24833	0	0.1
    25	1.19854	0	0.1
    26	1.15256	0	0.1
    27	1.10999	0	0.1
    28	1.07045	0	0.1
    29	1.03363	0	0.1
    30	0.999263	0	0.1
    31	0.967112	0	0.1
    32	0.936967	0	0.1
    33	0.908649	0	0.1
    34	0.881994	0	0.1
    35	0.85686	0	0.1
    36	0.833119	0	0.1
    37	0.810662	0	0.1
    38	0.789386	0	0.1
    39	0.769201	0	0.1
    40	0.750024	0	0.1
    41	0.731781	0	0.1
    42	0.714408	0	0.1
    43	0.697841	0	0.1
    44	0.682028	0	0.1
    45	0.666917	0	0.1
    46	0.652463	0	0.1
    47	0.638623	0	0.1
    48	0.625362	0	0.1
    49	0.612641	0	0.1
    50	0.600428	0	0.1


Date: Sat Sep 19 12:56:46 2020
Total elapsed time: 0.652 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 2144
traniter = 2144
tranpoints = 1073
accept = 1072
rejected = 1
matrix size = 5
fillins = 0
solver = Normal
Matrix Compiler1: 284 bytes object code size  0.1/0.1/[0.0]
Matrix Compiler2: off  [0.0]/0.1/0.0

